DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"66978",66978,Mk10,DS,9,0,0,89,89,15:56:40 05-May-2014,N,3,61.85111237,-177.52111816,,,,,401677297,,
"66978",66978,Mk10,DS,1,0,1,,,00:00:22 06-May-2014,K,B,61.90222168,-177.33277893,,,,,401677251,,
"66978",66978,Mk10,DS,3,0,0,178,89,00:17:26 06-May-2014,N,A,61.84416580,-177.38861084,,,,,401677254,,
"66978",66978,Mk10,DS,1,0,0,,,00:28:33 06-May-2014,B,B,61.84388733,-177.38861084,,,,,401677254,,
"66978",66978,Mk10,DS,6,0,2,106,89,00:43:08 06-May-2014,P,2,61.84416580,-177.36389160,,,,,401677261,,
"66978",66978,Mk10,DS,1,0,1,,,00:56:44 06-May-2014,L,B,61.84388733,-177.36416626,,,,,401677261,,
"66978",66978,Mk10,DS,2,0,2,89,89,01:12:19 06-May-2014,A,B,61.84388733,-177.36389160,,,,,401677261,,
"66978",66978,Mk10,DS,3,0,0,89,89,01:39:45 06-May-2014,K,A,61.84388733,-177.35806274,,,,,401677261,,
"66978",66978,Mk10,DS,11,0,0,204,89,01:53:06 06-May-2014,N,3,61.83944321,-177.35360718,,,,,401677265,,
"66978",66978,Mk10,DS,5,0,0,111,89,03:20:15 06-May-2014,K,2,61.83750153,-177.33471680,,,,,401677263,,
"66978",66978,Mk10,DS,6,0,2,106,89,03:37:50 06-May-2014,N,1,61.82166672,-177.38694763,,,,,401677252,,
"66978",66978,Mk10,DS,1,0,0,,,04:18:28 06-May-2014,L,B,61.81972122,-177.38667297,,,,,401677197,,
"66978",66978,Mk10,DS,1,0,0,,,04:18:28 06-May-2014,R,B,61.81999969,-177.38528442,,,,,401677202,,
"66978",66978,Mk10,DS,3,0,2,89,89,04:31:49 06-May-2014,A,A,61.81527710,-177.37388611,,,,,401677217,,
"66978",66978,Mk10,DS,3,0,0,89,89,05:00:00 06-May-2014,K,2,61.83055496,-177.35499573,,,,,401677206,,
"66978",66978,Mk10,DS,1,0,0,,,05:00:00 06-May-2014,K,B,61.81527710,-177.37083435,,,,,401677217,,
"66978",66978,Mk10,DS,2,0,1,89,89,05:21:31 06-May-2014,N,B,61.81527710,-177.36138916,,,,,401677207,,
"66978",66978,Mk10,DS,4,0,1,148,89,05:53:24 06-May-2014,L,2,61.82972336,-177.33694458,,,,,401677205,,
"66978",66978,Mk10,DS,7,0,2,89,89,05:59:20 06-May-2014,R,3,61.82833481,-177.33694458,,,,,401677202,,
"66978",66978,Mk10,DS,3,0,0,133,89,06:08:44 06-May-2014,A,A,61.82416534,-177.34500122,,,,,401677204,,
"66978",66978,Mk10,DS,3,0,0,89,89,06:42:21 06-May-2014,K,A,61.82777786,-177.32695007,,,,,401677222,,
"66978",66978,Mk10,DS,3,0,2,178,178,07:01:38 06-May-2014,B,A,61.82444382,-177.34693909,,,,,401677235,,
"66978",66978,Mk10,DS,7,0,0,103,89,07:34:29 06-May-2014,L,1,61.82194519,-177.34722900,,,,,401677260,,
"66978",66978,Mk10,DS,6,0,0,89,89,07:37:59 06-May-2014,R,2,61.82222366,-177.33193970,,,,,401677262,,
"66978",66978,Mk10,DS,8,0,1,89,89,07:44:39 06-May-2014,A,2,61.82222366,-177.33805847,,,,,401677266,,
"66978",66978,Mk10,DS,6,0,2,89,89,00:05:35 07-May-2014,N,3,61.82860947,-177.02638245,,,,,401677236,,
"66978",66978,Mk10,DS,7,0,1,118,89,00:32:23 07-May-2014,P,1,61.83499908,-177.02305603,,,,,401677242,,
"66978",66978,Mk10,DS,6,0,1,89,89,00:43:24 07-May-2014,L,2,61.84638977,-176.99833679,,,,,401677236,,
"66978",66978,Mk10,DS,5,0,3,111,89,00:49:20 07-May-2014,A,2,61.83889008,-177.00193787,,,,,401677231,,
"66978",66978,Mk10,DS,6,0,0,89,89,01:13:49 07-May-2014,K,1,61.84888840,-176.97471619,,,,,401677208,,
"66978",66978,Mk10,DS,5,0,0,133,89,01:41:15 07-May-2014,N,1,61.84083176,-177.02833557,,,,,401677198,,
"66978",66978,Mk10,DS,1,0,1,,,01:45:42 07-May-2014,B,B,61.85305405,-176.97193909,,,,,401677212,,
"66978",66978,Mk10,DS,8,0,0,139,89,02:15:22 07-May-2014,P,3,61.83805466,-176.99444580,,,,,401677215,,
"66978",66978,Mk10,DS,2,0,0,89,89,02:31:41 07-May-2014,A,B,61.83416748,-176.99528503,,,,,401677235,,
"66978",66978,Mk10,DS,6,0,0,106,89,02:57:17 07-May-2014,K,3,61.84249878,-176.99722290,,,,,401677247,,
"66978",66978,Mk10,DS,8,0,0,89,89,03:26:34 07-May-2014,N,3,61.84388733,-176.99528503,,,,,401677246,,
